Moku,P_valueCORAL20132016,sig_5,,,Moku,P_valueAdColDen20132016,sig_5,,,Moku,P_valueMA20132016,sig_5,,,Moku,P_valueBSR20132016,sig_5,,,Moku,P_valueBSR20132016,sig_5,,,Moku,P_valueREA_Dq120132016,sig_5,,Moku,P_valueCOV_Dq120132016,sig_5,,,Moku,P_valueTotDZ_prev20132016,sig_5,,Moku,P_valuePRIMARY20132016,sig_5,,Moku,P_valueSECONDARY20132016,sig_5,,Moku,P_valuePLANKTIVORE20132016,sig_5,,Moku,P_valuePISCIVORE20132016,sig_5
KOOLAU LAN,0.88446899,no,,,KOOLAU LAN,0.03133225,Statistically Significant,,,KOOLAU LAN,0.62469697,no,,,KOOLAU LAN,0.59055714,no,,,KOOLAU LAN,0.59055714,no,,,KOOLAU LAN,0.38769984,no,,KOOLAU LAN,0.00034963,Statistically Significant,,,KOOLAU LAN,0.22545811,no,,KOOLAU LAN,6.72E-08,Statistically Significant,,KOOLAU LAN,0.8407556,no,,KOOLAU LAN,0.45314978,no,,KOOLAU LAN,0.5879215,no
KOOLAU MOL,1.81E-11,Statistically Significant,,,KOOLAU MOL,9.91E-05,Statistically Significant,,,KOOLAU MOL,0.07440409,no,,,KOOLAU MOL,3.72E-12,Statistically Significant,,,KOOLAU MOL,3.72E-12,Statistically Significant,,,KOOLAU MOL,0.26324371,no,,KOOLAU MOL,0.00257301,Statistically Significant,,,KOOLAU MOL,0.52095348,no,,,,,,,,,,,,,,,,
KOOLAU NIH,0.03981504,Statistically Significant,,,KOOLAU NIH,0.86096659,no,,,KOOLAU NIH,0.85024092,no,,,KOOLAU NIH,0.08648354,no,,,KOOLAU NIH,0.08648354,no,,,KOOLAU NIH,0.48464573,no,,KOOLAU NIH,0.66576996,no,,,KOOLAU NIH,0.57080479,no,,KOOLAU NIH,0.06723147,no,,KOOLAU NIH,0.845732,no,,KOOLAU NIH,0.12122023,no,,KOOLAU NIH,0.10136419,no
KOOLAULOA,0.07638077,no,,,KOOLAULOA,0.0022495,Statistically Significant,,,KOOLAULOA,0.18861835,no,,,KOOLAULOA,0.09938039,no,,,KOOLAULOA,0.09938039,no,,,KOOLAULOA,1.23E-07,Statistically Significant,,KOOLAULOA,0.45336542,no,,,KOOLAULOA,0.06526183,no,,KOOLAULOA,0.00502841,Statistically Significant,,KOOLAULOA,2.79E-07,Statistically Significant,,KOOLAULOA,0.04613581,Statistically Significant,,KOOLAULOA,0.32277897,no
KOOLAUPOKO,0.75187151,no,,,KOOLAUPOKO,0.06400533,no,,,KOOLAUPOKO,0.08838813,no,,,KOOLAUPOKO,0.19373794,no,,,KOOLAUPOKO,0.19373794,no,,,KOOLAUPOKO,0.63625572,no,,KOOLAUPOKO,0.2541738,no,,,KOOLAUPOKO,0.18478669,no,,KOOLAUPOKO,0.30959296,no,,KOOLAUPOKO,0.62959739,no,,KOOLAUPOKO,0.18595535,no,,KOOLAUPOKO,0.31472571,no
LAHAINA,0.1652822,no,,,LAHAINA,0.14587366,no,,,LAHAINA,0.90311032,no,,,LAHAINA,0.68697473,no,,,LAHAINA,0.68697473,no,,,LAHAINA,0.92948624,no,,LAHAINA,0.00012078,Statistically Significant,,,LAHAINA,0.2019526,no,,LAHAINA,0.83480429,no,,LAHAINA,0.24631071,no,,LAHAINA,0.27105166,no,,LAHAINA,0.84265964,no
MANA,0.34609903,no,,,MANA,0.00367477,Statistically Significant,,,MANA,0.23575799,no,,,MANA,0.2488253,no,,,MANA,0.2488253,no,,,MANA,0.12149047,no,,MANA,0.39102747,no,,,MANA,NA,NA,,MANA,0.01078746,Statistically Significant,,MANA,0.30216656,no,,MANA,0.14101041,no,,MANA,0.97023621,no
PALAAU,0.80616464,no,,,PALAAU,0.64688021,no,,,PALAAU,0.02876596,Statistically Significant,,,PALAAU,0.37416081,no,,,PALAAU,0.37416081,no,,,PALAAU,0.27147051,no,,PALAAU,0.72431182,no,,,PALAAU,0.24997758,no,,PALAAU,0.1563603,no,,PALAAU,0.42339461,no,,PALAAU,0.26150668,no,,PALAAU,0.36677784,no
PUNA HAW,0.00049938,Statistically Significant,,,PUNA HAW,0.57885059,no,,,PUNA HAW,0.23200422,no,,,PUNA HAW,0.04441259,Statistically Significant,,,PUNA HAW,0.04441259,Statistically Significant,,,PUNA HAW,0.25524641,no,,PUNA HAW,0.41816803,no,,,PUNA HAW,0.43665078,no,,PUNA HAW,0.77048967,no,,PUNA HAW,0.15276973,no,,PUNA HAW,0.09524571,no,,PUNA HAW,0.25523583,no
PUNA KAU,0.66624787,no,,,PUNA KAU,0.77852198,no,,,PUNA KAU,0.13824946,no,,,PUNA KAU,0.49251959,no,,,PUNA KAU,0.49251959,no,,,PUNA KAU,0.13551817,no,,PUNA KAU,0.49822324,no,,,PUNA KAU,0.84036086,no,,PUNA KAU,NA,NA,,PUNA KAU,NA,NA,,PUNA KAU,NA,NA,,PUNA KAU,NA,NA
PUNA NIH,0.18201233,no,,,,,,,,PUNA NIH,0.00033955,Statistically Significant,,,PUNA NIH,0.5658151,no,,,PUNA NIH,0.5658151,no,,,PUNA NIH,NA,NA,,PUNA NIH,0.19036885,no,,,PUNA NIH,NA,NA,,PUNA NIH,0.08252789,no,,PUNA NIH,0.2862898,no,,PUNA NIH,0.00015625,Statistically Significant,,PUNA NIH,0.00029868,Statistically Significant
WAIALUA,0.04473666,Statistically Significant,,,WAIALUA,3.68E-05,Statistically Significant,,,WAIALUA,0.01000507,Statistically Significant,,,WAIALUA,0.50830248,no,,,WAIALUA,0.50830248,no,,,WAIALUA,0.57475991,no,,WAIALUA,0.34963674,no,,,WAIALUA,0.0041811,Statistically Significant,,WAIALUA,0.50560596,no,,WAIALUA,0.89491358,no,,WAIALUA,0.81763943,no,,WAIALUA,0.27662586,no
WAIANAE,0.1027182,no,,,WAIANAE,0.1178991,no,,,WAIANAE,0.97367612,no,,,WAIANAE,0.31576634,no,,,WAIANAE,0.31576634,no,,,WAIANAE,0.94568694,no,,WAIANAE,0.21152793,no,,,WAIANAE,,,,WAIANAE,0.46050731,no,,WAIANAE,0.1847973,no,,WAIANAE,0.2193248,no,,WAIANAE,0.35316856,no
WAILUKU,0.55646679,no,,,WAILUKU,0.95461665,no,,,WAILUKU,0.58458732,no,,,WAILUKU,0.29673329,no,,,WAILUKU,0.29673329,no,,,WAILUKU,0.907807,no,,WAILUKU,0.00014658,Statistically Significant,,,WAILUKU,4.10E-20,Statistically Significant,,WAILUKU,0.330871,no,,WAILUKU,0.63531617,no,,WAILUKU,0.94764126,no,,WAILUKU,0.30436357,no
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Overall normalized change 
(weighted mean)",-53.90%,,,,"Overall normalized change 
(weighted mean)",-70.40%,,,,,,,,,,,,,,,,,,,"Overall normalized change 
(weighted mean)",-26.20%,,,"Overall normalized change 
(weighted mean)",19.60%,,,,"Overall normalized change 
(weighted mean)",-64.50%,,,"Overall normalized change 
(weighted mean)",-98.50%,,,"Overall normalized change 
(weighted mean)",-11.70%,,,"Overall normalized change 
(weighted mean)",97.10%,,,"Overall normalized change 
(weighted mean)",18.40%,
