year,island,lbs.total,reef.price.adj,rev.total,costs.other.perlb.adj,costs.labor.perlb.adj,ev.total,ev.total.REEF,ev.total.OO
2005,hawaii,55427.708088403015,2.8351112473917084,157143.71861857575,1.6038346817691476,0.9120415008245607,17694.467983205977,17694.467983205977,0
2005,kauai,13527.473815111272,2.8351112473917084,38351.893162018794,1.6038346817691476,0.8895065014905289,4623.285593334964,4623.285593334964,0
2005,lanai,1564.2878401810992,2.8351112473917084,4434.930049855518,1.6038346817691476,1.2452318544530896,-21.830088623811207,-21.830088623811207,0
2005,maui,24655.44089357931,2.8351112473917084,69900.91778678818,1.6038346817691476,1.2452318544530896,-344.0737989139161,-344.0737989139161,0
2005,molokai,13403.20069970463,2.8351112473917084,37999.565054781015,1.6038346817691476,1.2452318544530896,-187.04553701791883,-187.04553701791883,0
2005,oahu,61062.976067446674,2.8351112473917084,173120.33024802877,1.6038346817691476,1.2073524239155304,1460.879292490572,1460.879292490572,0
2006,hawaii,92568.79755179129,2.8351112473917084,262442.8390966095,1.533527333677153,0.8720603107419987,39760.483447282546,39760.483447282546,0
2006,kauai,22591.985636154997,2.8351112473917084,64050.79257797496,1.533527333677153,0.8505131788362252,10190.58356326112,10190.58356326112,0
2006,lanai,2612.488399475244,2.8351112473917084,7406.695245032627,1.533527333677153,1.1906445890438515,289.82769874783116,289.82769874783116,0
2006,maui,41176.599129586306,2.8351112473917084,116740.23932162976,1.533527333677153,1.1906445890438515,4568.104099672593,4568.104099672593,0
2006,molokai,22384.43938793452,2.8351112473917084,63462.37587529112,1.533527333677153,1.1906445890438515,2483.3145888297586,2483.3145888297586,0
2006,oahu,101980.15513255562,2.8351112473917084,289125.0848270597,1.533527333677153,1.1544256802162938,15007.219481185602,15007.219481185602,0
2007,hawaii,78890.55010621966,2.8351112473917084,223663.48591906248,1.451554552111301,0.8254454198334077,44029.7055404977,44029.7055404977,0
2007,kauai,19253.725034409195,2.8351112473917084,54586.452399240814,1.451554552111301,0.8050500628574278,11138.407631254078,11138.407631254078,0
2007,lanai,2226.4591572058407,2.8351112473917084,6312.259398452543,1.451554552111301,1.127000174838188,571.2126142794477,571.2126142794477,0
2007,maui,35092.219438400694,2.8351112473917084,99490.34602574774,1.451554552111301,1.127000174838188,9003.137713710908,9003.137713710908,0
2007,molokai,19076.84645191022,2.8351112473917084,54084.98194057527,1.451554552111301,1.127000174838188,4894.2893467125905,4894.2893467125905,0
2007,oahu,86911.2568284544,2.8351112473917084,246403.08175930046,1.451554552111301,1.0927173023868166,25277.217171606608,25277.217171606608,0
2008,hawaii,73599.01979040632,2.8351112473917084,208661.4088047859,1.3719119967518985,0.7801556424360463,50271.340037899325,50271.340037899325,0
2008,kauai,17962.294443866536,2.8351112473917084,50925.10300676761,1.3719119967518985,0.760879319081415,12615.27740444809,12615.27740444809,0
2008,lanai,2077.1209143946007,2.8351112473917084,5888.868866592682,1.3719119967518985,1.0651649694826237,826.7653300376123,826.7653300376123,0
2008,maui,32738.43254304437,2.8351112473917084,92817.09832475983,1.3719119967518985,1.0651649694826237,13031.018463483706,13031.018463483706,0
2008,molokai,17797.279872713043,2.8351112473917084,50457.26834010682,1.3719119967518985,1.0651649694826237,7083.927500688602,7083.927500688602,0
2008,oahu,81081.74303150411,2.8351112473917084,229875.7616267416,1.3719119967518985,1.032763098033327,34900.513517108135,34900.513517108135,0
2009,hawaii,55032.050694492944,2.8351112473917084,156021.98589098762,1.3242435780960524,0.7530483747188683,41704.34983641465,41704.34983641465,0
2009,kauai,13430.911189297172,2.8351112473917084,38078.12737549556,1.3242435780960524,0.7344418259955469,10428.106546438928,10428.106546438928,0
2009,lanai,1553.121546796135,2.8351112473917084,4403.27236588813,1.3242435780960524,1.028154775080175,749.7117969223868,749.7117969223868,0
2009,maui,24479.443945011662,2.8351112473917084,69401.94685839742,1.3242435780960524,1.028154775080175,11816.543235482219,11816.543235482219,0
2009,molokai,13307.525167704627,2.8351112473917084,37728.31427790762,1.3242435780960524,1.028154775080175,6423.713988548057,6423.713988548057,0
2009,oahu,60627.092665291464,2.8351112473917084,171884.55231202717,1.3242435780960524,0.9968787382158479,31161.654553509637,31161.654553509637,0
2010,hawaii,85112.19493552163,2.8351112473917084,241302.54115189298,1.3227708479763693,0.7522108875364715,64696.291191277065,64696.291191277065,0
2010,kauai,20772.155805190323,2.8351112473917084,58891.37255586805,1.3227708479763693,0.7336250317016649,16175.596946044512,16175.596946044512,0
2010,lanai,2402.0472103304655,2.8351112473917084,6810.07106277378,1.3227708479763693,1.0270113340018097,1165.7833276688607,1165.7833276688607,0
2010,maui,37859.7413446834,2.8351112473917084,107336.5785096528,1.3227708479763693,1.0270113340018097,18374.432883613146,18374.432883613146,0
2010,molokai,20581.3278242306,2.8351112473917084,58350.35400073209,1.3227708479763693,1.0270113340018097,9988.716597903302,9988.716597903302,0
2010,oahu,93765.44875545758,2.8351112473917084,265835.47838332865,1.3227708479763693,0.9957700801353211,48436.44780104092,48436.44780104092,0
2011,hawaii,45437.491447065615,2.8351112473917084,128820.34305484028,1.274783714030936,0.7249223782148093,37958.71459177924,37958.71459177924,0
2011,kauai,11089.29986414367,2.8351112473917084,31439.398770533062,1.274783714030936,0.707010775184107,9462.685410520011,9462.685410520011,0
2011,lanai,1282.3426731917996,2.8351112473917084,3635.5841357764207,1.274783714030936,0.989753686145706,731.6711924910978,731.6711924910978,0
2011,maui,20211.576905523092,2.8351112473917084,57302.069012371016,1.274783714030936,0.989753686145706,11532.197193267493,11532.197193267493,0
2011,molokai,10987.425570344916,2.8351112473917084,31150.57381436413,1.274783714030936,0.989753686145706,6269.137678660896,6269.137678660896,0
2011,oahu,50057.06619461489,2.8351112473917084,141917.35137978394,1.274783714030936,0.9596457942944205,30068.365574340773,30068.365574340773,0
2012,hawaii,70178.3012051904,2.8351112473917084,198963.29106967838,1.2220822801717937,0.6949530207873479,64429.01029798493,64429.01029798493,0
2012,kauai,17127.446987851043,2.8351112473917084,48558.217594361726,1.2220822801717937,0.6777819097726981,16018.394396970882,16018.394396970882,0
2012,lanai,1980.5809586201292,2.8351112473917084,5615.1673521537805,1.2220822801717937,0.9488358128993395,1315.4883142931722,1315.4883142931722,0
2012,maui,31216.8230845251,2.8351112473917084,88503.16623477422,1.2220822801717937,0.9488358128993395,20734.000192378066,20734.000192378066,0
2012,molokai,16970.101926590254,2.8351112473917084,48112.12684145973,1.2220822801717937,0.9488358128993395,11271.425527763648,11271.425527763648,0
2012,oahu,77313.24412894507,2.8351112473917084,219191.64800231313,1.2220822801717937,0.91997262558387,53582.4341360211,53582.4341360211,0
2013,hawaii,76498.18661321279,2.8351112473917084,216880.8692721894,1.1859881541161452,0.6744276254501976,74562.43578875755,74562.43578875755,0
2013,kauai,18669.853977423354,2.8351112473917084,52931.11299855378,1.1859881541161452,0.6577636621583601,18508.53581809967,18508.53581809967,0
2013,lanai,2158.941569875059,2.8351112473917084,6120.839527214292,1.1859881541161452,0.9208120046889071,1572.381084950688,1572.381084950688,0
2013,maui,34028.044520619296,2.8351112473917084,96473.29174715356,1.1859881541161452,0.9208120046889071,24783.002147287436,24783.002147287436,0
